,County,Date,Index
282,Los Angeles,1/18/2020,121.16
283,Madera,1/18/2020,123.97
284,Marin,1/18/2020,118.99
285,Mariposa,1/18/2020,146.77
286,Mendocino,1/18/2020,124.38
287,Merced,1/18/2020,127.35
288,Mono,1/18/2020,237.19
289,Monterey,1/18/2020,147.03
290,Napa,1/18/2020,145.51
291,Nevada,1/18/2020,157.65
292,Orange,1/18/2020,129.15
293,Placer,1/18/2020,131.5
294,Riverside,1/18/2020,135.93
295,Sacramento,1/18/2020,112.78
296,San Benito,1/18/2020,123.34
297,San Bernardino,1/18/2020,123.23
298,San Diego,1/18/2020,121.53
299,San Francisco,1/18/2020,135.84
300,San Joaquin,1/18/2020,114.62
301,San Luis Obispo,1/18/2020,179.35
302,San Mateo,1/18/2020,103.31
303,Santa Barbara,1/18/2020,154.49
304,Santa Clara,1/18/2020,106.01
305,Santa Cruz,1/18/2020,117.63
306,Shasta,1/18/2020,111.06
307,Siskiyou,1/18/2020,149.09
308,Solano,1/18/2020,134.15
309,Sonoma,1/18/2020,115.25
310,Stanislaus,1/18/2020,109.54
311,Sutter,1/18/2020,114.99
312,Tehama,1/18/2020,134.83
313,Tulare,1/18/2020,117.79
314,Tuolumne,1/18/2020,186.54
315,Ventura,1/18/2020,128.37
316,Yolo,1/18/2020,120.23
317,Yuba,1/18/2020,121.49
318,Alameda,1/19/2020,85.41
319,Amador,1/19/2020,139.18
320,Butte,1/19/2020,93.48
321,Calaveras,1/19/2020,127.92
322,Colusa,1/19/2020,112.32
323,Contra Costa,1/19/2020,82.13
324,Del Norte,1/19/2020,113.77
325,El Dorado,1/19/2020,139.12
326,Fresno,1/19/2020,84.16
327,Glenn,1/19/2020,99.72
328,Humboldt,1/19/2020,102.73
329,Imperial,1/19/2020,123.87
330,Inyo,1/19/2020,148.05
331,Kern,1/19/2020,105.0
332,Kings,1/19/2020,101.64
333,Lake,1/19/2020,98.07
334,Lassen,1/19/2020,94.87
335,Los Angeles,1/19/2020,92.43
336,Madera,1/19/2020,100.49
337,Marin,1/19/2020,94.39
338,Mariposa,1/19/2020,157.08
339,Mendocino,1/19/2020,111.48
340,Merced,1/19/2020,111.55
341,Mono,1/19/2020,217.19
342,Monterey,1/19/2020,123.46
343,Napa,1/19/2020,116.69
344,Nevada,1/19/2020,128.58
345,Orange,1/19/2020,96.41
346,Placer,1/19/2020,97.54
347,Riverside,1/19/2020,103.74
348,Sacramento,1/19/2020,83.61
349,San Benito,1/19/2020,110.65
350,San Bernardino,1/19/2020,99.09
351,San Diego,1/19/2020,95.17
352,San Francisco,1/19/2020,100.8
353,San Joaquin,1/19/2020,83.98
354,San Luis Obispo,1/19/2020,151.33
355,San Mateo,1/19/2020,81.4
356,Santa Barbara,1/19/2020,129.98
357,Santa Clara,1/19/2020,88.15
358,Santa Cruz,1/19/2020,97.53
359,Shasta,1/19/2020,88.37
360,Siskiyou,1/19/2020,131.65
361,Solano,1/19/2020,96.41
362,Sonoma,1/19/2020,91.11
363,Stanislaus,1/19/2020,81.9
364,Sutter,1/19/2020,86.53
365,Tehama,1/19/2020,102.97
366,Tulare,1/19/2020,91.28
367,Tuolumne,1/19/2020,148.31
368,Ventura,1/19/2020,98.04
369,Yolo,1/19/2020,87.43
370,Yuba,1/19/2020,93.29
371,Alameda,1/20/2020,98.52
372,Amador,1/20/2020,130.96
373,Butte,1/20/2020,113.61
374,Calaveras,1/20/2020,131.48
375,Colusa,1/20/2020,128.54
376,Contra Costa,1/20/2020,95.18
377,Del Norte,1/20/2020,118.04
378,El Dorado,1/20/2020,153.37
379,Fresno,1/20/2020,100.12
380,Glenn,1/20/2020,114.84
381,Humboldt,1/20/2020,106.96
382,Imperial,1/20/2020,122.49
383,Inyo,1/20/2020,185.72
384,Kern,1/20/2020,120.06
385,Kings,1/20/2020,123.18
386,Lake,1/20/2020,109.51
387,Lassen,1/20/2020,103.35
388,Los Angeles,1/20/2020,100.56
389,Madera,1/20/2020,109.24
390,Marin,1/20/2020,104.44
391,Mariposa,1/20/2020,128.21
392,Mendocino,1/20/2020,119.56
393,Merced,1/20/2020,122.29
394,Mono,1/20/2020,185.17
395,Monterey,1/20/2020,122.41
396,Napa,1/20/2020,107.52
397,Nevada,1/20/2020,189.41
398,Orange,1/20/2020,106.98
399,Placer,1/20/2020,136.31
400,Riverside,1/20/2020,109.95
401,Sacramento,1/20/2020,97.0
402,San Benito,1/20/2020,104.03
403,San Bernardino,1/20/2020,111.38
404,San Diego,1/20/2020,103.74
405,San Francisco,1/20/2020,92.87
406,San Joaquin,1/20/2020,100.91
407,San Luis Obispo,1/20/2020,143.58
408,San Mateo,1/20/2020,90.78
409,Santa Barbara,1/20/2020,128.52
410,Santa Clara,1/20/2020,92.48
411,Santa Cruz,1/20/2020,102.67
412,Shasta,1/20/2020,101.63
413,Siskiyou,1/20/2020,135.7
414,Solano,1/20/2020,111.37
415,Sonoma,1/20/2020,99.86
416,Stanislaus,1/20/2020,94.7
417,Sutter,1/20/2020,103.56
418,Tehama,1/20/2020,109.34
419,Tulare,1/20/2020,103.65
420,Tuolumne,1/20/2020,145.05
421,Ventura,1/20/2020,110.53
422,Yolo,1/20/2020,110.68
423,Yuba,1/20/2020,101.86
424,Alameda,1/21/2020,108.8
425,Amador,1/21/2020,100.83
426,Butte,1/21/2020,115.22
427,Calaveras,1/21/2020,97.07
428,Colusa,1/21/2020,98.64
429,Contra Costa,1/21/2020,103.59
430,Del Norte,1/21/2020,105.45
431,El Dorado,1/21/2020,91.28
432,Fresno,1/21/2020,103.1
433,Glenn,1/21/2020,101.63
434,Humboldt,1/21/2020,100.41
435,Imperial,1/21/2020,101.4
436,Inyo,1/21/2020,89.39
437,Kern,1/21/2020,114.06
438,Kings,1/21/2020,106.5
439,Lake,1/21/2020,120.0
440,Lassen,1/21/2020,90.02
441,Los Angeles,1/21/2020,109.1
442,Madera,1/21/2020,100.18
443,Marin,1/21/2020,116.99
444,Mariposa,1/21/2020,96.56
445,Mendocino,1/21/2020,103.43
446,Merced,1/21/2020,103.37
447,Mono,1/21/2020,91.71
448,Monterey,1/21/2020,105.52
449,Napa,1/21/2020,98.79
450,Nevada,1/21/2020,91.23
451,Orange,1/21/2020,108.17
