County,Date,Index
El Dorado,1/22/2020,92.68
Fresno,1/22/2020,101.92
Glenn,1/22/2020,92.32
Humboldt,1/22/2020,98.41
Imperial,1/22/2020,105.78
Inyo,1/22/2020,83.77
Kern,1/22/2020,112.54
Kings,1/22/2020,95.27
Lake,1/22/2020,111.9
Lassen,1/22/2020,111.05
Los Angeles,1/22/2020,112.44
Madera,1/22/2020,105.75
Marin,1/22/2020,110.57
Mariposa,1/22/2020,95.54
Mendocino,1/22/2020,101.94
Merced,1/22/2020,101.91
Mono,1/22/2020,85.25
Monterey,1/22/2020,107.95
Napa,1/22/2020,108.48
Nevada,1/22/2020,84.91
Orange,1/22/2020,111.23
Placer,1/22/2020,102.43
Riverside,1/22/2020,107.17
Sacramento,1/22/2020,111.67
San Benito,1/22/2020,105.38
San Bernardino,1/22/2020,103.54
San Diego,1/22/2020,111.93
San Francisco,1/22/2020,99.04
San Joaquin,1/22/2020,106.02
San Luis Obispo,1/22/2020,104.91
San Mateo,1/22/2020,105.77
Santa Barbara,1/22/2020,110.64
Santa Clara,1/22/2020,108.17
Santa Cruz,1/22/2020,104.79
Shasta,1/22/2020,99.33
Siskiyou,1/22/2020,93.4
Solano,1/22/2020,102.06
Sonoma,1/22/2020,103.64
Stanislaus,1/22/2020,101.95
Sutter,1/22/2020,100.48
Tehama,1/22/2020,106.76
Tulare,1/22/2020,102.58
Tuolumne,1/22/2020,106.29
Ventura,1/22/2020,116.17
Yolo,1/22/2020,107.14
Yuba,1/22/2020,101.5
Alameda,1/23/2020,108.72
Amador,1/23/2020,111.7
Butte,1/23/2020,119.23
Calaveras,1/23/2020,103.38
Colusa,1/23/2020,99.84
Contra Costa,1/23/2020,104.63
Del Norte,1/23/2020,95.58
El Dorado,1/23/2020,98.01
Fresno,1/23/2020,105.84
Glenn,1/23/2020,110.2
Humboldt,1/23/2020,99.74
Imperial,1/23/2020,108.42
Inyo,1/23/2020,120.17
Kern,1/23/2020,117.7
Kings,1/23/2020,103.81
Lake,1/23/2020,109.01
Lassen,1/23/2020,100.71
Los Angeles,1/23/2020,119.67
Madera,1/23/2020,110.2
Marin,1/23/2020,110.56
Mariposa,1/23/2020,90.68
