county,state,population,drate,crate,date,fips,cases,deaths,state_death,state_case,case_day,death_day
Amador,California,39752,0,30.18716039,5/6/2020,6005,7,0,50,53,0,0
Amador,California,39752,0,30.18716039,5/7/2020,6005,7,0,50,53,0,0
Amador,California,39752,0,30.18716039,5/8/2020,6005,7,0,50,53,0,0
Amador,California,39752,0,30.18716039,5/9/2020,6005,7,0,50,53,0,0
Amador,California,39752,0,30.18716039,5/10/2020,6005,7,0,50,53,0,0
Amador,California,39752,0,30.18716039,5/11/2020,6005,7,0,50,53,0,0
Amador,California,39752,0,30.18716039,5/12/2020,6005,7,0,50,53,0,0
Amador,California,39752,0,30.18716039,5/13/2020,6005,8,0,50,53,1,0
Amador,California,39752,0,30.18716039,5/14/2020,6005,8,0,50,53,0,0
Amador,California,39752,0,30.18716039,5/15/2020,6005,8,0,50,53,0,0
Amador,California,39752,0,30.18716039,5/16/2020,6005,8,0,50,53,0,0
Amador,California,39752,0,30.18716039,5/17/2020,6005,8,0,50,53,0,0
Amador,California,39752,0,30.18716039,5/18/2020,6005,8,0,50,53,0,0
Amador,California,39752,0,30.18716039,5/19/2020,6005,8,0,50,53,0,0
Amador,California,39752,0,30.18716039,5/20/2020,6005,9,0,50,53,1,0
Amador,California,39752,0,30.18716039,5/21/2020,6005,9,0,50,53,0,0
Amador,California,39752,0,30.18716039,5/22/2020,6005,9,0,50,53,0,0
Amador,California,39752,0,30.18716039,5/23/2020,6005,9,0,50,53,0,0
Amador,California,39752,0,30.18716039,5/24/2020,6005,9,0,50,53,0,0
Amador,California,39752,0,30.18716039,5/25/2020,6005,9,0,50,53,0,0
Amador,California,39752,0,30.18716039,5/26/2020,6005,10,0,50,53,1,0
Amador,California,39752,0,30.18716039,5/27/2020,6005,10,0,50,53,0,0
Amador,California,39752,0,30.18716039,5/28/2020,6005,10,0,50,53,0,0
Amador,California,39752,0,30.18716039,5/29/2020,6005,10,0,50,53,0,0
Amador,California,39752,0,30.18716039,5/30/2020,6005,10,0,50,53,0,0
Amador,California,39752,0,30.18716039,5/31/2020,6005,10,0,50,53,0,0
Amador,California,39752,0,30.18716039,6/1/2020,6005,10,0,50,53,0,0
Amador,California,39752,0,30.18716039,6/2/2020,6005,10,0,50,53,0,0
Amador,California,39752,0,30.18716039,6/3/2020,6005,10,0,50,53,0,0
Amador,California,39752,0,30.18716039,6/4/2020,6005,10,0,50,53,0,0
Amador,California,39752,0,30.18716039,6/5/2020,6005,9,0,50,53,-1,0
Amador,California,39752,0,30.18716039,6/6/2020,6005,9,0,50,53,0,0
Amador,California,39752,0,30.18716039,6/7/2020,6005,9,0,50,53,0,0
Amador,California,39752,0,30.18716039,6/8/2020,6005,9,0,50,53,0,0
Amador,California,39752,0,30.18716039,6/9/2020,6005,9,0,50,53,0,0
