date,admin_level,admin1,admin2,fips,samples,m50,m50_index
4/2/2020,2,California,Amador,6005,402,4.145,30
4/3/2020,2,California,Amador,6005,392,4.201,31
4/4/2020,2,California,Amador,6005,381,0.499,3
4/5/2020,2,California,Amador,6005,384,0.032,0
4/6/2020,2,California,Amador,6005,379,0.568,4
4/7/2020,2,California,Amador,6005,398,3.072,22
4/8/2020,2,California,Amador,6005,390,2.851,21
4/9/2020,2,California,Amador,6005,379,2.055,15
4/10/2020,2,California,Amador,6005,370,3.399,25
4/11/2020,2,California,Amador,6005,372,1.91,14
4/12/2020,2,California,Amador,6005,368,0.09,0
4/13/2020,2,California,Amador,6005,352,4.102,30
4/14/2020,2,California,Amador,6005,386,4.642,34
4/15/2020,2,California,Amador,6005,390,3.543,26
4/16/2020,2,California,Amador,6005,387,3.356,25
4/17/2020,2,California,Amador,6005,378,2.599,19
4/18/2020,2,California,Amador,6005,369,2.571,19
4/19/2020,2,California,Amador,6005,365,1.499,11
4/21/2020,2,California,Amador,6005,498,4.35,32
4/22/2020,2,California,Amador,6005,491,2.098,15
4/23/2020,2,California,Amador,6005,487,0.646,4
4/24/2020,2,California,Amador,6005,474,2.939,21
4/25/2020,2,California,Amador,6005,446,0.456,3
4/26/2020,2,California,Amador,6005,427,0.334,2
4/27/2020,2,California,Amador,6005,488,1.538,11
4/28/2020,2,California,Amador,6005,461,4.175,31
4/29/2020,2,California,Amador,6005,425,2.556,19
4/30/2020,2,California,Amador,6005,634,5.588,41
5/1/2020,2,California,Amador,6005,595,5.622,41
5/2/2020,2,California,Amador,6005,659,1.961,14
5/3/2020,2,California,Amador,6005,642,3.849,28
5/4/2020,2,California,Amador,6005,402,2.206,16
5/5/2020,2,California,Amador,6005,449,2.777,20
5/6/2020,2,California,Amador,6005,405,4.413,32
5/7/2020,2,California,Amador,6005,440,2.734,20
5/8/2020,2,California,Amador,6005,422,7.032,52
5/9/2020,2,California,Amador,6005,451,1.87,13
5/10/2020,2,California,Amador,6005,443,1.553,11
5/11/2020,2,California,Amador,6005,381,5.486,40
5/12/2020,2,California,Amador,6005,429,2.652,19
5/13/2020,2,California,Amador,6005,322,3.445,25
5/14/2020,2,California,Amador,6005,351,4.341,32
5/15/2020,2,California,Amador,6005,657,7.31,54
5/16/2020,2,California,Amador,6005,678,4.135,30
5/17/2020,2,California,Amador,6005,692,0.392,2
5/18/2020,2,California,Amador,6005,635,2.438,18
5/19/2020,2,California,Amador,6005,595,4.206,31
5/20/2020,2,California,Amador,6005,639,8.971,66
5/21/2020,2,California,Amador,6005,719,6.162,45
