county,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
Orange,2/22/2020,-2,-1,-23,-7,1,1
Orange,2/23/2020,5,-1,10,0,1,0
Orange,2/24/2020,1,-2,9,-1,4,-1
Orange,2/25/2020,4,-1,14,2,3,0
Orange,2/26/2020,3,1,14,4,3,-1
Orange,2/27/2020,3,2,9,3,2,0
Orange,2/28/2020,3,3,10,2,3,-1
Orange,2/29/2020,2,3,14,0,3,-1
Orange,3/1/2020,2,1,-17,-5,0,1
Orange,3/2/2020,5,4,7,0,4,-1
Orange,3/3/2020,7,5,26,3,3,0
Orange,3/4/2020,2,3,11,-2,2,0
Orange,3/5/2020,2,3,9,-1,2,0
Orange,3/6/2020,1,2,6,-3,3,0
Orange,3/7/2020,-1,3,12,-4,2,0
Orange,3/8/2020,1,0,17,-8,0,1
Orange,3/9/2020,3,2,9,-6,3,0
Orange,3/10/2020,-1,1,-30,-15,-1,4
Orange,3/11/2020,3,4,7,-7,1,1
Orange,3/12/2020,-5,10,-40,-21,-3,5
Orange,3/13/2020,-4,39,-38,-23,-5,6
Orange,3/14/2020,-15,33,-32,-23,-5,6
Orange,3/15/2020,-18,15,-7,-26,-10,6
Orange,3/16/2020,-15,18,-31,-33,-20,10
Orange,3/17/2020,-20,16,-3,-30,-28,14
Orange,3/18/2020,-32,5,-15,-38,-37,18
Orange,3/19/2020,-36,0,-32,-45,-40,20
Orange,3/20/2020,-42,-3,-22,-46,-44,24
Orange,3/21/2020,-50,-12,-12,-45,-36,18
Orange,3/22/2020,-53,-23,-18,-56,-41,16
Orange,3/23/2020,-44,-19,-20,-52,-50,23
Orange,3/24/2020,-43,-20,-26,-50,-51,24
Orange,3/25/2020,-45,-20,-27,-51,-51,24
Orange,3/26/2020,-45,-18,-28,-52,-52,25
Orange,3/27/2020,-46,-17,-25,-52,-51,26
Orange,3/28/2020,-52,-18,-37,-50,-39,19
Orange,3/29/2020,-52,-24,-31,-55,-44,17
Orange,3/30/2020,-44,-22,-21,-51,-51,23
Orange,3/31/2020,-43,-19,-24,-49,-53,25
Orange,4/1/2020,-43,-17,-23,-49,-53,24
Orange,4/2/2020,-45,-16,-32,-52,-53,26
Orange,4/3/2020,-46,-13,-29,-51,-52,26
Orange,4/4/2020,-51,-16,-42,-50,-42,19
Orange,4/5/2020,-55,-26,-53,-59,-46,18
Orange,4/6/2020,-51,-28,-65,-63,-56,26
Orange,4/7/2020,-51,-28,-61,-59,-55,28
Orange,4/8/2020,-49,-22,-39,-55,-55,26
Orange,4/9/2020,-55,-31,-71,-65,-57,29
Orange,4/10/2020,-50,-17,-52,-58,-58,30
Orange,4/11/2020,-51,-13,-42,-47,-43,19
Orange,4/12/2020,-66,-36,-63,-59,-49,18
Orange,4/13/2020,-49,-26,-44,-54,-53,24
Orange,4/14/2020,-46,-22,-30,-50,-52,25
Orange,4/15/2020,-50,-17,-28,-49,-52,24
Orange,4/16/2020,-58,-15,-32,-52,-52,25
Orange,4/17/2020,-59,-15,-37,-52,-51,26
Orange,4/18/2020,-63,-15,-53,-49,-39,19
Orange,4/19/2020,-63,-20,-37,-53,-41,16
Orange,4/20/2020,-58,-19,-33,-53,-51,23
Orange,4/21/2020,-56,-16,-28,-51,-51,24
Orange,4/22/2020,-57,-15,-26,-50,-52,24
Orange,4/23/2020,-57,-13,-29,-51,-52,24
Orange,4/24/2020,-57,-11,-28,-52,-50,25
Orange,4/25/2020,-59,-9,-36,-44,-37,17
Orange,4/26/2020,-60,-16,-30,-51,-41,15
Orange,4/27/2020,-55,-15,-24,-50,-50,22
Orange,4/28/2020,-54,-14,-22,-48,-51,15
Orange,4/29/2020,-54,-15,-27,-50,-51,23
Orange,4/30/2020,-52,-12,-24,-51,-51,23
Orange,5/1/2020,-52,-8,-24,-50,-49,24
Orange,5/2/2020,-54,-6,-32,-43,-35,16
Orange,5/3/2020,-55,-13,-26,-49,-36,14
Orange,5/4/2020,-49,-12,-20,-51,-48,21
Orange,5/5/2020,-48,-6,-17,-48,-48,22
Orange,5/6/2020,-49,-10,-15,-48,-49,22
Orange,5/7/2020,-48,-7,-15,-50,-49,22
Orange,5/8/2020,-48,-2,-10,-47,-47,22
Orange,5/9/2020,-49,8,-18,-39,-32,14
Orange,5/10/2020,-50,-1,-17,-40,-32,11
Orange,5/11/2020,-49,-14,-11,-49,-47,20
Orange,5/12/2020,-47,-11,-13,-47,-47,22
Orange,5/13/2020,-47,-10,-9,-46,-47,21
Orange,5/14/2020,-48,-10,-11,-47,-48,22
Orange,5/15/2020,-48,-7,-6,-45,-46,22
Orange,5/16/2020,-50,-5,-8,-41,-31,14
Orange,5/17/2020,-49,-11,3,-46,-32,12
Orange,5/18/2020,-48,-14,-31,-52,-46,20
Orange,5/19/2020,-44,-9,-4,-46,-45,21
Orange,5/20/2020,-44,-7,0,-44,-46,20
Orange,5/21/2020,-44,-5,1,-45,-46,20
Orange,5/22/2020,-45,-3,-2,-45,-44,20
Orange,5/23/2020,-48,-2,-4,-40,-28,12
Orange,5/24/2020,-46,-7,20,-42,-30,10
Orange,5/25/2020,-45,-6,46,-50,-76,24
Orange,5/26/2020,-41,-8,4,-44,-43,19
Orange,5/27/2020,-41,-8,5,-43,-43,19
Orange,5/28/2020,-41,-6,1,-43,-43,19
Orange,5/29/2020,-42,-7,-8,-44,-41,20
Placer,2/15/2020,2,11,31,-1,-1,0
Placer,2/16/2020,10,22,62,5,1,-2
Placer,2/17/2020,19,14,63,-3,-43,7
Placer,2/18/2020,2,12,34,2,-2,0
Placer,2/19/2020,1,7,30,-1,-2,0
Placer,2/20/2020,4,8,39,15,-2,0
Placer,2/21/2020,2,8,21,3,-2,1
Placer,2/22/2020,2,12,45,-5,1,-1
Placer,2/23/2020,9,22,49,2,3,-1
Placer,2/24/2020,2,7,24,-1,3,-1
Placer,2/25/2020,3,12,29,-4,2,-1
Placer,2/26/2020,3,9,28,4,2,-1
Placer,2/27/2020,5,10,36,28,2,-1
Placer,2/28/2020,4,13,15,18,3,0
Placer,2/29/2020,6,21,33,3,1,-1
Placer,3/1/2020,9,22,12,2,3,0
Placer,3/2/2020,7,16,16,5,2,0
Placer,3/3/2020,7,17,35,17,2,-1
Placer,3/4/2020,3,12,27,8,1,0
Placer,3/5/2020,3,11,39,21,1,-1
Placer,3/6/2020,1,11,15,8,1,1
Placer,3/7/2020,-3,1,-16,-23,-1,2
Placer,3/8/2020,2,8,16,-17,0,1
Placer,3/9/2020,3,12,25,4,2,0
Placer,3/10/2020,2,15,41,14,1,0
Placer,3/11/2020,-1,14,43,3,-1,1
Placer,3/12/2020,1,22,35,15,-2,1
Placer,3/13/2020,-2,38,6,4,-5,3
Placer,3/14/2020,-19,9,-50,-37,-7,7
Placer,3/15/2020,-23,-3,-50,-48,-13,6
Placer,3/16/2020,-12,33,-39,-35,-25,10
Placer,3/17/2020,-20,29,10,-25,-30,12
Placer,3/18/2020,-28,15,-14,-35,-38,16
Placer,3/19/2020,-27,15,37,-16,-40,15
Placer,3/20/2020,-45,1,0,-33,-46,20
Placer,3/21/2020,-53,-16,8,-47,-34,13
Placer,3/22/2020,-51,-25,35,-50,-40,11
Placer,3/23/2020,-43,-10,-7,-46,-50,19
Placer,3/24/2020,-46,-7,-22,-45,-52,21
Placer,3/25/2020,-45,-10,-1,-41,-53,21
Placer,3/26/2020,-43,-8,11,-34,-53,21
Placer,3/27/2020,-46,-10,-1,-40,-51,22
Placer,3/28/2020,-56,-25,-46,-57,-41,16
Placer,3/29/2020,-52,-27,-2,-55,-44,13
Placer,3/30/2020,-42,-13,-6,-41,-52,19
Placer,3/31/2020,-40,-2,16,-34,-55,20
Placer,4/1/2020,-42,-3,5,-41,-53,20
Placer,4/2/2020,-42,-5,16,-33,-53,21
Placer,4/3/2020,-45,-7,-3,-40,-53,21
Placer,4/4/2020,-58,-29,-66,-67,-43,17
Placer,4/5/2020,-62,-42,-69,-70,-48,15
Placer,4/6/2020,-44,-13,-25,-44,-55,20
Placer,4/7/2020,-43,-7,8,-36,-55,21
Placer,4/8/2020,-44,-13,-3,-38,-56,22
Placer,4/9/2020,-44,-11,-7,-38,-56,22
Placer,4/10/2020,-45,-10,-4,-38,-55,22
Placer,4/11/2020,-50,-13,-15,-51,-41,14
Placer,4/12/2020,-66,-45,-8,-48,-50,12
Placer,4/13/2020,-42,-19,7,-38,-53,19
Placer,4/14/2020,-41,-11,18,-32,-53,20
Placer,4/15/2020,-46,-8,6,-32,-52,20
Placer,4/16/2020,-56,-8,12,-21,-52,21
Placer,4/17/2020,-58,-12,-11,-33,-51,22
Placer,4/18/2020,-60,-20,-10,-43,-37,14
Placer,4/19/2020,-58,-28,13,-37,-39,11
Placer,4/20/2020,-55,-12,-7,-32,-51,19
Placer,4/21/2020,-54,-1,19,-20,-51,19
Placer,4/22/2020,-54,-6,16,-27,-52,20
Placer,4/23/2020,-54,-7,21,-22,-51,20
Placer,4/24/2020,-56,-6,1,-26,-50,21
Placer,4/25/2020,-58,-17,-5,-42,-36,13
Placer,4/26/2020,-56,-22,19,-35,-39,10
Placer,4/27/2020,-50,-4,9,-28,-50,18
Placer,4/28/2020,-52,4,20,-21,-51,11
Placer,4/29/2020,-50,-3,17,-27,-51,19
Placer,4/30/2020,-48,-1,20,-14,-50,19
Placer,5/1/2020,-49,0,5,-20,-47,19
Placer,5/2/2020,-53,-11,-1,-37,-33,12
Placer,5/3/2020,-50,-17,28,-29,-33,9
Placer,5/4/2020,-45,1,16,-21,-47,16
Placer,5/5/2020,-45,13,21,-10,-47,17
Placer,5/6/2020,-47,1,23,-20,-48,18
Placer,5/7/2020,-46,1,28,-3,-48,18
Placer,5/8/2020,-47,2,7,-22,-47,18
Placer,5/9/2020,-49,11,8,-34,-31,10
Placer,5/10/2020,-46,5,33,-32,-30,7
Placer,5/11/2020,-45,-8,9,-26,-46,16
Placer,5/12/2020,-47,-3,-1,-20,-47,18
Placer,5/13/2020,-45,-3,17,-23,-47,18
Placer,5/14/2020,-44,-4,24,-13,-47,17
Placer,5/15/2020,-44,-4,23,-18,-45,17
Placer,5/16/2020,-46,-3,27,-34,-29,9
Placer,5/17/2020,-50,-17,-32,-46,-32,10
Placer,5/18/2020,-42,-10,-21,-30,-46,17
Placer,5/19/2020,-38,2,22,-21,-45,16
Placer,5/20/2020,-37,2,35,-17,-44,16
Placer,5/21/2020,-36,5,47,0,-45,15
Placer,5/22/2020,-35,6,34,-5,-44,15
Placer,5/23/2020,-39,10,42,-18,-23,7
Placer,5/24/2020,-34,9,82,-18,-24,5
Placer,5/25/2020,-35,3,82,-35,-73,18
Placer,5/26/2020,-35,6,19,-11,-42,15
Placer,5/27/2020,-34,4,26,-16,-42,15
Placer,5/28/2020,-33,7,42,-4,-41,15
Placer,5/29/2020,-35,3,33,-9,-40,15
Plumas,2/15/2020,18,15,,,,
Plumas,2/16/2020,22,13,,,-2,
Plumas,2/17/2020,-3,-2,,,-35,
Plumas,2/18/2020,-3,-1,,,-7,
Plumas,2/19/2020,-7,1,,,-11,
Plumas,2/20/2020,3,-2,,,-8,
Plumas,2/21/2020,-4,-1,,,-3,
Plumas,2/22/2020,12,4,,,,
Plumas,2/23/2020,6,8,,,,
Plumas,2/24/2020,9,7,,,6,
Plumas,2/25/2020,3,-2,,,8,
Plumas,2/26/2020,5,1,,,4,
Plumas,2/27/2020,6,11,,,7,
Plumas,2/28/2020,5,8,,,10,
Plumas,2/29/2020,17,1,,,,
Plumas,3/1/2020,7,9,,,,
Plumas,3/2/2020,12,12,,,14,
Plumas,3/3/2020,10,11,,,7,
Plumas,3/4/2020,7,4,,,0,
Plumas,3/5/2020,14,6,,,12,
Plumas,3/6/2020,4,9,,,11,
Plumas,3/7/2020,13,7,,,,
Plumas,3/8/2020,6,0,,,,
Plumas,3/9/2020,5,1,,,6,
Plumas,3/10/2020,5,2,,,6,
Plumas,3/11/2020,5,14,,,6,
Plumas,3/12/2020,13,10,,,1,
Plumas,3/13/2020,2,34,,,14,
Plumas,3/14/2020,-12,13,,,,
Plumas,3/15/2020,-23,-1,,,-16,
Plumas,3/16/2020,-17,18,,,-28,
Plumas,3/17/2020,-37,1,,,-26,
Plumas,3/18/2020,-25,12,,,-25,
Plumas,3/19/2020,-15,28,,,-20,
Plumas,3/20/2020,-24,15,,,-23,
Plumas,3/21/2020,-25,5,,,-11,
Plumas,3/22/2020,-26,-1,,,-18,
Plumas,3/23/2020,-21,4,,,-19,
Plumas,3/24/2020,-43,-14,,,-28,
Plumas,3/25/2020,-53,-7,,,-33,
Plumas,3/26/2020,-34,-4,,,-31,
Plumas,3/27/2020,-34,-2,,,-26,
Plumas,3/28/2020,-44,-4,,,-16,
Plumas,3/29/2020,-30,-8,,,-25,
Plumas,3/30/2020,-30,-1,,,-28,
Plumas,3/31/2020,-32,-7,,,-32,
Plumas,4/1/2020,-28,5,,,-33,
Plumas,4/2/2020,-27,-2,,,-33,
Plumas,4/3/2020,-24,16,,,-28,
Plumas,4/4/2020,-48,2,,,-20,
Plumas,4/5/2020,-64,-18,,,-36,
Plumas,4/6/2020,,,,,-31,
Plumas,4/7/2020,,,,,-34,
Plumas,4/8/2020,,,,,-36,
Plumas,4/9/2020,,,,,-33,
Plumas,4/10/2020,,,,,-30,
Plumas,4/11/2020,,,,,-18,
Plumas,4/12/2020,,,,,-26,
Plumas,4/13/2020,,,,,-30,
Plumas,4/14/2020,,,,,-31,
Plumas,4/15/2020,,,,,-31,
Plumas,4/16/2020,,,,,-28,
Plumas,4/17/2020,,,,,-27,
Plumas,4/18/2020,,,,,-11,
Plumas,4/19/2020,,,,,-22,
Plumas,4/20/2020,,,,,-21,
Plumas,4/21/2020,,,,,-24,
Plumas,4/22/2020,,,,,-29,
Plumas,4/23/2020,,,,,-29,
Plumas,4/24/2020,,,,,-23,
Plumas,4/25/2020,,,,,-10,
Plumas,4/26/2020,,,,,-19,
Plumas,4/27/2020,,,,,-22,
Plumas,4/28/2020,,,,,-24,
Plumas,4/29/2020,,,,,-26,
Plumas,4/30/2020,,,,,-23,
Plumas,5/1/2020,,,,,-21,
Plumas,5/2/2020,,,,,-4,
Plumas,5/3/2020,,,,,-15,
Plumas,5/4/2020,,,,,-17,
Plumas,5/5/2020,,,,,-21,
Plumas,5/6/2020,,,,,-22,
Plumas,5/7/2020,,,,,-22,
Plumas,5/8/2020,,,,,-17,
Plumas,5/9/2020,,,,,-1,
Plumas,5/10/2020,,,,,-9,
Plumas,5/11/2020,,,,,-16,
Plumas,5/12/2020,,,,,-17,
Plumas,5/13/2020,,,,,-22,
Plumas,5/14/2020,,,,,-20,
Plumas,5/15/2020,,,,,-18,
Plumas,5/16/2020,,,,,-7,
Plumas,5/17/2020,,,,,-18,
Plumas,5/18/2020,,,,,-13,
Plumas,5/19/2020,,,,,-14,
Plumas,5/20/2020,,,,,-14,
Plumas,5/21/2020,,,,,-17,
Plumas,5/22/2020,,,,,-13,
Plumas,5/24/2020,,,,,-5,
Plumas,5/25/2020,,,,,-54,
Plumas,5/26/2020,,,,,-17,
Plumas,5/27/2020,,,,,-18,
Plumas,5/28/2020,,,,,-14,
Plumas,5/29/2020,,,,,-13,
Riverside,2/15/2020,3,2,6,2,-2,0
Riverside,2/16/2020,7,2,15,3,-1,-1
Riverside,2/17/2020,10,1,24,0,-32,6
Riverside,2/18/2020,2,1,14,4,-1,0
Riverside,2/19/2020,2,0,9,7,-1,0
Riverside,2/20/2020,4,1,7,3,-1,0
Riverside,2/21/2020,4,1,1,4,-1,0
Riverside,2/22/2020,1,-3,-28,-5,-1,2
Riverside,2/23/2020,6,0,-8,4,0,0
Riverside,2/24/2020,4,0,7,8,4,-1
Riverside,2/25/2020,4,0,12,7,2,-1
Riverside,2/26/2020,7,4,9,9,2,-1
Riverside,2/27/2020,6,4,7,6,2,-1
Riverside,2/28/2020,7,6,8,9,3,-1
Riverside,2/29/2020,5,4,10,7,2,-1
Riverside,3/1/2020,6,2,-20,1,0,0
Riverside,3/2/2020,8,6,-3,6,5,-1
Riverside,3/3/2020,10,11,20,8,3,-2
Riverside,3/4/2020,7,8,13,4,2,-1
Riverside,3/5/2020,7,9,8,7,2,-1
Riverside,3/6/2020,5,8,10,6,3,-1
Riverside,3/7/2020,4,5,10,5,3,0
Riverside,3/8/2020,5,6,-2,4,1,0
Riverside,3/9/2020,6,9,8,5,4,0
Riverside,3/10/2020,1,5,-35,-6,-3,3
Riverside,3/11/2020,6,11,-1,2,0,1
Riverside,3/12/2020,-6,7,-48,-11,-3,4
Riverside,3/13/2020,2,39,-36,-10,-4,4
Riverside,3/14/2020,-6,32,-39,-14,-5,5
Riverside,3/15/2020,-10,16,-31,-12,-7,5
Riverside,3/16/2020,-5,23,-26,-12,-19,8
Riverside,3/17/2020,-14,16,-22,-16,-26,10
Riverside,3/18/2020,-23,7,-43,-24,-31,13
Riverside,3/19/2020,-27,5,-47,-28,-34,15
Riverside,3/20/2020,-33,4,-35,-30,-38,18
Riverside,3/21/2020,-42,-9,-38,-35,-31,15
Riverside,3/22/2020,-44,-16,-34,-38,-35,13
Riverside,3/23/2020,-37,-16,-41,-37,-42,18
Riverside,3/24/2020,-35,-14,-35,-33,-44,18
Riverside,3/25/2020,-37,-16,-41,-34,-44,19
Riverside,3/26/2020,-37,-15,-41,-37,-45,19
Riverside,3/27/2020,-38,-14,-37,-37,-44,21
Riverside,3/28/2020,-42,-17,-46,-41,-35,16
Riverside,3/29/2020,-43,-20,-44,-41,-39,14
Riverside,3/30/2020,-34,-18,-30,-35,-44,17
Riverside,3/31/2020,-34,-17,-35,-35,-46,18
Riverside,4/1/2020,-33,-12,-37,-35,-46,18
Riverside,4/2/2020,-35,-13,-43,-38,-47,19
Riverside,4/3/2020,-35,-9,-41,-39,-46,21
Riverside,4/4/2020,-42,-14,-53,-42,-37,16
Riverside,4/5/2020,-46,-21,-60,-45,-41,15
Riverside,4/6/2020,-44,-25,-66,-47,-48,21
Riverside,4/7/2020,-44,-24,-64,-45,-50,21
Riverside,4/8/2020,-44,-23,-64,-48,-51,22
Riverside,4/9/2020,-46,-25,-71,-49,-51,23
Riverside,4/10/2020,-45,-19,-68,-50,-54,26
Riverside,4/11/2020,-42,-12,-59,-45,-39,17
Riverside,4/12/2020,-59,-33,-67,-53,-46,16
Riverside,4/13/2020,-42,-26,-53,-44,-46,19
Riverside,4/14/2020,-38,-20,-45,-40,-47,19
Riverside,4/15/2020,-41,-13,-48,-38,-46,18
Riverside,4/16/2020,-53,-11,-49,-40,-46,19
Riverside,4/17/2020,-54,-13,-51,-42,-45,21
Riverside,4/18/2020,-57,-15,-63,-45,-35,16
Riverside,4/19/2020,-57,-16,-55,-44,-37,13
Riverside,4/20/2020,-52,-15,-48,-40,-44,18
Riverside,4/21/2020,-51,-13,-44,-40,-45,18
Riverside,4/22/2020,-51,-11,-46,-39,-45,18
Riverside,4/23/2020,-52,-11,-49,-39,-46,18
Riverside,4/24/2020,-52,-10,-49,-39,-45,20
Riverside,4/25/2020,-54,-8,-56,-40,-33,14
Riverside,4/26/2020,-54,-12,-54,-40,-36,12
Riverside,4/27/2020,-49,-10,-43,-37,-42,17
Riverside,4/28/2020,-48,-8,-40,-36,-45,10
Riverside,4/29/2020,-47,-8,-45,-36,-45,17
Riverside,4/30/2020,-45,-6,-45,-38,-45,17
Riverside,5/1/2020,-45,-3,-42,-35,-43,18
Riverside,5/2/2020,-47,-2,-48,-35,-30,13
Riverside,5/3/2020,-48,-6,-44,-36,-32,11
Riverside,5/4/2020,-43,-6,-38,-34,-41,15
Riverside,5/5/2020,-43,0,-38,-34,-42,16
Riverside,5/6/2020,-44,-5,-42,-34,-43,16
Riverside,5/7/2020,-44,-3,-45,-36,-43,17
Riverside,5/8/2020,-44,1,-40,-35,-42,17
Riverside,5/9/2020,-44,12,-46,-32,-28,11
Riverside,5/10/2020,-45,9,-47,-31,-28,8
Riverside,5/11/2020,-43,-9,-35,-34,-40,15
Riverside,5/12/2020,-42,-6,-33,-32,-41,15
Riverside,5/13/2020,-41,-6,-33,-32,-41,15
Riverside,5/14/2020,-42,-5,-36,-34,-42,16
Riverside,5/15/2020,-42,-4,-31,-33,-40,16
Riverside,5/16/2020,-44,-3,-40,-33,-27,11
Riverside,5/17/2020,-44,-7,-34,-34,-28,9
Riverside,5/18/2020,-40,-9,-36,-35,-38,14
Riverside,5/19/2020,-38,-5,-26,-33,-39,14
Riverside,5/20/2020,-37,-3,-26,-31,-40,14
Riverside,5/21/2020,-38,-2,-30,-30,-40,14
Riverside,5/22/2020,-38,1,-25,-27,-39,15
Riverside,5/23/2020,-40,2,-29,-25,-23,9
Riverside,5/24/2020,-40,1,-20,-27,-26,7
Riverside,5/25/2020,-40,-4,-17,-36,-70,20
Riverside,5/26/2020,-36,-4,-29,-31,-38,13
Riverside,5/27/2020,-35,-4,-30,-31,-37,13
Riverside,5/28/2020,-35,-2,-31,-30,-37,13
Riverside,5/29/2020,-36,-3,-27,-29,-35,14
Sacramento,2/15/2020,1,1,26,-2,-2,-1
Sacramento,2/16/2020,9,0,55,-3,0,-2
Sacramento,2/17/2020,7,-1,43,-12,-44,9
Sacramento,2/18/2020,-1,0,22,6,-2,0
Sacramento,2/19/2020,0,1,23,0,-1,0
Sacramento,2/20/2020,3,0,28,3,-1,0
Sacramento,2/21/2020,1,0,16,3,1,0
Sacramento,2/22/2020,3,2,38,0,0,-1
Sacramento,2/23/2020,8,2,53,4,1,-1
Sacramento,2/24/2020,3,-1,15,2,4,0
Sacramento,2/25/2020,4,2,30,3,3,-1
Sacramento,2/26/2020,5,3,29,3,2,-1
Sacramento,2/27/2020,7,3,29,5,1,-1
Sacramento,2/28/2020,5,5,15,4,3,-1
Sacramento,2/29/2020,6,7,25,0,1,-2
Sacramento,3/1/2020,11,4,26,1,2,-1
Sacramento,3/2/2020,7,7,11,0,4,-1
Sacramento,3/3/2020,12,15,38,2,3,-2
Sacramento,3/4/2020,5,11,32,-3,2,-1
Sacramento,3/5/2020,7,10,31,-1,2,-1
Sacramento,3/6/2020,1,8,12,-1,2,0
Sacramento,3/7/2020,-1,7,-20,-11,-2,1
Sacramento,3/8/2020,5,6,23,-5,0,0
Sacramento,3/9/2020,2,8,25,-6,0,0
Sacramento,3/10/2020,2,11,38,-3,-1,0
Sacramento,3/11/2020,3,10,38,-7,-2,0
Sacramento,3/12/2020,2,18,34,-9,-4,1
Sacramento,3/13/2020,-2,29,7,-13,-6,3
Sacramento,3/14/2020,-15,21,-45,-27,-7,5
Sacramento,3/15/2020,-15,10,-36,-29,-10,5
Sacramento,3/16/2020,-11,25,-36,-32,-21,9
Sacramento,3/17/2020,-18,21,-2,-30,-27,11
Sacramento,3/18/2020,-28,11,-19,-39,-35,14
Sacramento,3/19/2020,-24,21,13,-41,-38,14
Sacramento,3/20/2020,-44,-7,-14,-49,-45,20
Sacramento,3/21/2020,-48,-13,-13,-47,-32,13
Sacramento,3/22/2020,-46,-21,10,-52,-35,12
Sacramento,3/23/2020,-41,-19,-13,-54,-46,19
Sacramento,3/24/2020,-42,-17,-25,-55,-49,21
Sacramento,3/25/2020,-41,-16,-7,-55,-50,20
Sacramento,3/26/2020,-40,-15,0,-55,-50,20
Sacramento,3/27/2020,-42,-14,-11,-56,-49,22
Sacramento,3/28/2020,-49,-18,-49,-58,-37,16
Sacramento,3/29/2020,-45,-21,-1,-57,-37,13
Sacramento,3/30/2020,-37,-16,-4,-56,-49,19
Sacramento,3/31/2020,-35,-9,6,-56,-54,20
Sacramento,4/1/2020,-35,-6,3,-54,-51,19
Sacramento,4/2/2020,-36,-8,2,-56,-52,20
Sacramento,4/3/2020,-38,-5,-6,-56,-50,21
Sacramento,4/4/2020,-50,-16,-60,-63,-40,16
Sacramento,4/5/2020,-52,-27,-58,-68,-42,15
Sacramento,4/6/2020,-39,-13,-28,-59,-51,20
Sacramento,4/7/2020,-39,-9,5,-56,-52,20
Sacramento,4/8/2020,-41,-12,-14,-58,-53,21
Sacramento,4/9/2020,-41,-11,-13,-59,-54,21
Sacramento,4/10/2020,-41,-7,-10,-58,-53,22
Sacramento,4/11/2020,-44,-3,-23,-54,-37,14
Sacramento,4/12/2020,-57,-28,-11,-55,-42,12
Sacramento,4/13/2020,-39,-18,1,-54,-50,19
Sacramento,4/14/2020,-37,-13,9,-53,-51,20
Sacramento,4/15/2020,-40,-9,5,-53,-51,19
Sacramento,4/16/2020,-48,-10,6,-55,-51,20
Sacramento,4/17/2020,-51,-11,-13,-56,-49,21
Sacramento,4/18/2020,-52,-8,-14,-50,-33,13
Sacramento,4/19/2020,-50,-14,7,-55,-34,11
Sacramento,4/20/2020,-49,-15,-6,-55,-49,19
Sacramento,4/21/2020,-47,-10,13,-53,-50,19
Sacramento,4/22/2020,-48,-9,12,-53,-50,19
Sacramento,4/23/2020,-48,-10,9,-55,-50,20
Sacramento,4/24/2020,-50,-9,-5,-53,-48,21
Sacramento,4/25/2020,-51,-8,-8,-49,-33,12
Sacramento,4/26/2020,-48,-12,13,-53,-33,10
Sacramento,4/27/2020,-44,-11,5,-53,-48,18
Sacramento,4/28/2020,-44,-7,6,-51,-49,11
Sacramento,4/29/2020,-44,-7,7,-51,-49,18
Sacramento,4/30/2020,-42,-6,9,-51,-49,18
Sacramento,5/1/2020,-42,-1,4,-48,-47,19
Sacramento,5/2/2020,-45,-1,-4,-41,-30,11
Sacramento,5/3/2020,-42,-5,27,-46,-28,9
Sacramento,5/4/2020,-39,-5,12,-49,-46,16
Sacramento,5/5/2020,-39,2,18,-47,-47,17
Sacramento,5/6/2020,-42,-3,14,-50,-48,17
Sacramento,5/7/2020,-41,-2,16,-49,-48,18
Sacramento,5/8/2020,-42,1,-1,-48,-45,18
Sacramento,5/9/2020,-42,13,0,-41,-27,9
Sacramento,5/10/2020,-39,10,15,-43,-24,6
Sacramento,5/11/2020,-42,-11,-5,-50,-46,16
Sacramento,5/12/2020,-41,-4,2,-50,-46,17
Sacramento,5/13/2020,-40,-4,5,-51,-46,17
Sacramento,5/14/2020,-40,-5,10,-49,-47,17
Sacramento,5/15/2020,-41,-2,11,-47,-44,17
Sacramento,5/16/2020,-43,-1,6,-41,-26,9
Sacramento,5/17/2020,-45,-11,-16,-52,-27,10
Sacramento,5/18/2020,-39,-8,1,-51,-44,17
Sacramento,5/19/2020,-37,-3,21,-48,-45,16
Sacramento,5/20/2020,-36,-1,29,-47,-45,16
Sacramento,5/21/2020,-35,-1,29,-46,-45,16
Sacramento,5/22/2020,-37,1,16,-45,-43,16
Sacramento,5/23/2020,-39,2,16,-37,-21,7
Sacramento,5/24/2020,-35,-2,42,-43,-23,5
Sacramento,5/25/2020,-39,-4,35,-54,-72,20
Sacramento,5/26/2020,-35,-4,6,-46,-43,15
Sacramento,5/27/2020,-35,-3,6,-47,-43,16
Sacramento,5/28/2020,-33,-2,11,-46,-43,15
Sacramento,5/29/2020,-34,-1,12,-44,-39,15
San Benito,2/15/2020,1,0,27,,-4,-1
San Benito,2/16/2020,7,3,71,,-2,
San Benito,2/17/2020,6,4,,,-44,10
San Benito,2/18/2020,0,0,,,-9,2
San Benito,2/19/2020,-6,-4,,,-9,2
San Benito,2/20/2020,0,-4,,,-10,1
San Benito,2/21/2020,-2,-8,,,-9,2
San Benito,2/22/2020,-3,-2,5,,-5,-1
San Benito,2/23/2020,4,-1,13,,-3,
San Benito,2/24/2020,-2,4,,,4,-1
San Benito,2/25/2020,4,1,,,4,-2
San Benito,2/26/2020,5,3,,,2,-2
San Benito,2/27/2020,6,3,,,3,-1
San Benito,2/28/2020,3,4,,,3,-2
